county,apn,sale_cycle_id,source_artifact_id,source_document_date,claim_deadline,deadline_verified_at,as_of_date,lifecycle_status,status_reason
Colusa,001-133-009-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-06,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,005-320-011-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-23,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,010-280-050-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-07,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,010-310-019-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-11-17,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,012-025-003-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-06,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,015-330-049-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-07,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,018-020-010-000,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-06,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Colusa,118-010-002-501,colusa_2025-09-18_and_11-05_sales,sha256:0b52089645e9a6936f97da892cff8a4aed1e8ea4a53aacbec1f1fe687c397d9b,2025-12-15,2026-10-02,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,110-221-025-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,116-031-014-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,140-101-003-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,140-101-013-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,140-103-007-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,141-202-006-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,141-202-016-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,141-214-014-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Del Norte,141-214-015-000,delnorte_2026-05-15_sale,sha256:61427de0098fa2b791218d0761902296d0b2aba811b4b33f338411bbbc7e6218,unknown - not printed,2027-05-27,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,016-232-003-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,021-222-006-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,053-172-009-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-021-007-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-021-035-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-021-038-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-021-039-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-021-045-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-081-005-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,081-081-008-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,100-012-005-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,110-201-001-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,110-291-008-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
Humboldt,111-081-052-000,humboldt_2026-05-29_sale,sha256:00a5db003df4e847369da852f27462674e355f058e094f787df93b357dbf0ddb,2026-07-09,2027-05-29,2026-08-08,2026-08-08,ACTIVE_CANDIDATE,official source verified + deadline parsed + deadline is future + record exists in the current applicable sale cycle
