apn,apn_dash,situs,excess_proceeds,doc_number,deed_recordation_date,claim_deadline,owner_of_record,auction_winner,deed_status,source
016232003000,016-232-003-000,"2919 Harris St, Eureka","112,106.44",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
021222006000,021-222-006-000,"1060 O St, Arcata","155,064.34",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
053172009000,053-172-009-000,"61 Monument Rd, Rio Dell","7,904.80",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081021007000,081-021-007-000,"220 Boy Scout Camp Rd, Myers Flat","4,033.19",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081021035000,081-021-035-000,,"8,700.34",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081021038000,081-021-038-000,,"15,234.09",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081021039000,081-021-039-000,,"5,730.99",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081021045000,081-021-045-000,,"13,198.15",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081081005000,081-081-005-000,,"25,036.59",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
081081008000,081-081-008-000,,"5,590.38",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
100012005000,100-012-005-000,,"2,574.20",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
110201001000,110-201-001-000,"15 Greenbriar Ct, Shelter Cove","7,317.56",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
110291008000,110-291-008-000,"8 Wood Ct, Shelter Cove","3,916.13",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
111081052000,111-081-052-000,"19 Spur Ct, Shelter Cove",526.08,,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
111151066000,111-151-066-000,,683.72,,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
202102019000,202-102-019-000,"3395 Rancheria Rd, Fortuna",783.12,,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
212192021000,212-192-021-000,"164 Plymouth Acres Rd, Miranda","3,195.59",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
216201002000,216-201-002-000,,"11,633.46",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
216381012000,216-381-012-000,"390 River Rd, Alderpoint","2,841.64",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
217121016000,217-121-016-000,,905.90,,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
221101013000,221-101-013-000,"8989 Doody Ridge Rd, Ettersburg","23,975.59",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
221111025000,221-111-025-000,"5490 Hardwood Ln, Miranda","15,526.55",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
221111028000,221-111-028-000,"6757 Doody Ridge Rd, Ettersburg","49,534.21",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
305073053000,305-073-053-000,,"11,481.75",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
305073054000,305-073-054-000,,"10,996.32",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
305073055000,305-073-055-000,,"7,570.54",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
309103008000,309-103-008-000,"632 Main St, Loleta","56,652.86",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
317053007000,317-053-007-000,,"40,951.52",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
403011032000,403-011-032-000,,"10,308.12",,,2027-05-29,,,sold_at_auction_2026-05-29,humboldtgov.org/DocumentCenter/View/154125/excesspropub_May2026 (verified 2026-08-07)
