asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at,verified_url,verified_at,v_inst1_status,v_inst1_total_due,v_inst1_paid,v_inst1_balance,v_inst2_status,v_inst2_total_due,v_inst2_paid,v_inst2_balance,v_total_due,v_total_paid,v_total_balance,v_delinquent,v_fetch_error,verified_score,confidence
005-050-001-000,5050001000,4340 SHASTA DAM BLVD,2025,0,3026,CS,005-050-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050001000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050001000/2025/0000,2026-07-01T06:48:14.863203,PAID,"$2,225.52","$2,225.52",$0.00,PAID,"$2,225.52","$2,225.52",$0.00,"$4,451.04","$4,451.04",$0.00,False,,COLD,0.92
005-050-002-000,5050002000,4336 SHASTA DAM BLVD,2025,0,3026,CS,005-050-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050002000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050002000/2025/0000,2026-07-01T06:48:16.885945,PAID,$862.93,$862.93,$0.00,PAID,$862.93,$862.93,$0.00,"$1,725.86","$1,725.86",$0.00,False,,COLD,0.92
005-050-003-000,5050003000,4324 SHASTA DAM BLVD,2025,0,3026,CS,005-050-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050003000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050003000/2025/0000,2026-07-01T06:48:17.525791,PAID,$983.06,$983.06,$0.00,LATE,"$1,115.36",$0.00,"$1,115.36","$2,098.42",$983.06,"$1,115.36",True,,HOT,0.95
005-050-004-000,5050004000,4302 SHASTA DAM BLVD,2025,0,3026,CS,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050004000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050004000/2025/0000,2026-07-01T06:48:18.174237,PAID,"$1,372.48","$1,372.48",$0.00,PAID,"$1,543.72","$1,543.72",$0.00,"$2,916.20","$2,916.20",$0.00,False,,COLD,0.92
800-008-932-000,800008932000,4302 SHASTA DAM BLVD,2025,0,3026,CU,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800008932000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/800008932000/2025/0000,2026-07-01T06:48:18.839047,PAID,"$1,236.24","$1,236.24",$0.00,Delinquent,$0.00,$0.00,$0.00,"$1,236.24","$1,236.24",$0.00,True,,HOT,0.85
800-012-153-000,800012153000,4302 SHASTA DAM BLVD,2025,0,3026,CU,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800012153000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/800012153000/2025/0000,2026-07-01T06:48:19.520918,PAID,$162.56,$162.56,$0.00,Delinquent,$0.00,$0.00,$0.00,$162.56,$162.56,$0.00,True,,HOT,0.85
800-014-383-000,800014383000,975 MISSION DE ORO DR #STE G,2025,0,3026,CU,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800014383000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/800014383000/2025/0000,2026-07-01T06:48:20.274588,PAID,$34.35,$34.35,$0.00,Delinquent,$0.00,$0.00,$0.00,$34.35,$34.35,$0.00,True,,HOT,0.85
005-050-005-000,5050005000,1625 LOCUST AVE,2025,0,3026,CS,005-050-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050005000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050005000/2025/0000,2026-07-01T06:48:20.930803,PAID,"$1,089.22","$1,089.22",$0.00,PAID,"$1,089.22","$1,089.22",$0.00,"$2,178.44","$2,178.44",$0.00,False,,COLD,0.92
005-050-006-000,5050006000,4309 MEADE ST,2025,0,3026,CS,005-050-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050006000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050006000/2025/0000,2026-07-01T06:48:21.650653,PAID,$573.86,$573.86,$0.00,PAID,$573.86,$573.86,$0.00,"$1,147.72","$1,147.72",$0.00,False,,COLD,0.92
005-050-007-000,5050007000,4313 MEADE ST,2025,0,3026,CS,005-050-007-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050007000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050007000/2025/0000,2026-07-01T06:48:22.323826,PAID,"$1,327.21","$1,327.21",$0.00,PAID,"$1,327.21","$1,327.21",$0.00,"$2,654.42","$2,654.42",$0.00,False,,COLD,0.92
005-050-009-000,5050009000,4329 MEADE ST,2025,0,3026,CS,005-050-009-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050009000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050009000/2025/0000,2026-07-01T06:48:23.017188,PAID,$157.46,$157.46,$0.00,PAID,$191.46,$191.46,$0.00,$348.92,$348.92,$0.00,False,,COLD,0.92
005-050-012-000,5050012000,4317 MEADE ST,2025,0,3026,CS,005-050-012-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050012000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050012000/2025/0000,2026-07-01T06:48:23.714232,PAID,$329.68,$329.68,$0.00,LATE,$363.68,$0.00,$363.68,$693.36,$329.68,$363.68,True,,HOT,0.85
005-050-014-000,5050014000,4325 MEADE ST,2025,0,3026,CS,005-050-014-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050014000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050014000/2025/0000,2026-07-01T06:48:24.419825,PAID,$715.02,$715.02,$0.00,PAID,$715.02,$715.02,$0.00,"$1,430.04","$1,430.04",$0.00,False,,COLD,0.92
005-050-015-000,5050015000,4321 MEADE ST,2025,0,3026,CS,005-050-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050015000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050015000/2025/0000,2026-07-01T06:48:25.105498,PAID,$952.96,$952.96,$0.00,PAID,$952.96,$952.96,$0.00,"$1,905.92","$1,905.92",$0.00,False,,COLD,0.92
005-050-016-000,5050016000,4337 MEADE ST,2025,0,3026,CS,005-050-016-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050016000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050016000/2025/0000,2026-07-01T06:48:25.754122,PAID,"$1,064.39","$1,064.39",$0.00,PAID,"$1,064.39","$1,064.39",$0.00,"$2,128.78","$2,128.78",$0.00,False,,COLD,0.92
005-050-017-000,5050017000,4333 MEADE ST,2025,0,3026,CS,005-050-017-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050017000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050017000/2025/0000,2026-07-01T06:48:26.459910,PAID,$217.79,$217.79,$0.00,PAID,$273.56,$273.56,$0.00,$491.35,$491.35,$0.00,False,,COLD,0.92
005-050-018-000,5050018000,4344 MEADE ST,2025,0,3026,CS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050018000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/005050018000/2025/0000,2026-07-01T06:48:27.142884,PAID,"$1,066.58","$1,066.58",$0.00,PAID,"$1,066.58","$1,066.58",$0.00,"$2,133.16","$2,133.16",$0.00,False,,COLD,0.92
990-182-470-000,990182470000,4344 MEADE ST,2025,0,3026,SU,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470000/2025/0000,shasta,2026-07-01T05:02:41.089460,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470000/2025/0000,2026-07-01T06:48:27.816948,Delinquent,($155.15),($155.15),$0.00,Delinquent,$0.00,$0.00,$0.00,($155.15),($155.15),$0.00,True,,HOT,0.85
