asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
005-050-003-000,005-050-003-000,4324 SHASTA DAM BLVD,shasta,2025,3026,CS,HOT,0.95,"$2,098.42",$983.06,"$1,115.36",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005050003000/2025/0000,2026-07-01T06:48:17.525791
800-008-932-000,005-050-004-000,4302 SHASTA DAM BLVD,shasta,2025,3026,CU,HOT,0.85,"$1,236.24","$1,236.24",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800008932000/2025/0000,2026-07-01T06:48:18.839047
800-012-153-000,005-050-004-000,4302 SHASTA DAM BLVD,shasta,2025,3026,CU,HOT,0.85,$162.56,$162.56,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800012153000/2025/0000,2026-07-01T06:48:19.520918
800-014-383-000,005-050-004-000,975 MISSION DE ORO DR #STE G,shasta,2025,3026,CU,HOT,0.85,$34.35,$34.35,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800014383000/2025/0000,2026-07-01T06:48:20.274588
005-050-012-000,005-050-012-000,4317 MEADE ST,shasta,2025,3026,CS,HOT,0.85,$693.36,$329.68,$363.68,PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005050012000/2025/0000,2026-07-01T06:48:23.714232
990-182-470-000,005-050-018-000,4344 MEADE ST,shasta,2025,3026,SU,HOT,0.85,($155.15),($155.15),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470000/2025/0000,2026-07-01T06:48:27.816948
990-182-470-001,005-050-018-000,4344 MEADE ST,shasta,2025,3026,SS,HOT,0.85,($346.05),($346.05),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470001/2025/0000,2026-07-01T06:48:28.478934
800-012-777-000,005-050-032-000,4336 SHASTA DAM BLVD,shasta,2025,3026,CU,HOT,0.85,$101.38,$101.38,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800012777000/2025/0000,2026-07-01T06:48:38.550729
800-013-725-000,005-050-051-000,1954 FERRY ST,shasta,2025,3026,DU,HOT,0.85,$99.34,$99.34,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800013725000/2025/0000,2026-07-01T06:48:48.638426
005-100-004-000,005-100-004-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100004000/2025/0000,2026-07-01T06:48:54.000902
005-100-005-000,005-100-005-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100005000/2025/0000,2026-07-01T06:48:54.646639
005-100-006-000,005-100-006-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100006000/2025/0000,2026-07-01T06:48:55.290998
005-100-007-000,005-100-007-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100007000/2025/0000,2026-07-01T06:48:55.970694
800-014-176-000,005-100-017-000,4128 MEADE ST,shasta,2025,3026,CU,HOT,0.85,$140.28,$0.00,$140.28,LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800014176000/2025/0000,2026-07-01T06:49:02.207014
005-100-036-000,005-100-036-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100036000/2025/0000,2026-07-01T06:49:15.427308
005-100-037-000,005-100-037-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100037000/2025/0000,2026-07-01T06:49:16.142073
005-100-038-000,005-100-038-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100038000/2025/0000,2026-07-01T06:49:16.828564
995-064-724-000,005-100-055-000,4124 FORT PECK ST,shasta,2025,3026,SS,HOT,0.95,"$1,235.07",$0.00,"$1,235.07",LATE,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/995064724000/2025/0000,2026-07-01T06:49:32.365234
830-021-131-000,005-100-057-000,4156 FORT PECK ST,shasta,2025,3026,CU,HOT,0.85,$84.18,$84.18,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/830021131000/2025/0000,2026-07-01T06:49:34.384076
990-184-635-000,005-100-057-000,4156 FORT PECK ST,shasta,2025,3026,SS,HOT,0.85,$358.76,$0.00,$358.76,LATE,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990184635000/2025/0000,2026-07-01T06:49:35.082622
005-100-063-000,005-100-063-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100063000/2025/0000,2026-07-01T06:49:39.155042
005-100-071-000,005-100-071-000,4041 LA MESA AVE,shasta,2025,3026,CS,HOT,0.85,$439.42,$0.00,$439.42,LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100071000/2025/0000,2026-07-01T06:49:43.247065
910-807-529-000,005-100-071-000,4041 LA MESA AVE,shasta,2025,3026,CS,HOT,0.85,$403.68,$0.00,$403.68,LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/910807529000/2025/0000,2026-07-01T06:49:43.943725
830-009-139-000,005-100-076-000,1895 ASHBY RD,shasta,2025,3026,DU,HOT,0.85,$170.01,$0.00,$170.01,LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/830009139000/2025/0000,2026-07-01T06:49:51.411012
005-100-077-000,005-100-077-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100077000/2025/0000,2026-07-01T06:49:52.661839
005-100-078-000,005-100-078-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100078000/2025/0000,2026-07-01T06:49:53.294650
005-100-087-000,005-100-087-000,4076 MEADE ST,shasta,2025,3026,CS,HOT,0.85,$789.04,$377.52,$411.52,PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005100087000/2025/0000,2026-07-01T06:49:58.418127
996-064-081-000,005-100-087-000,4076 MEADE ST,shasta,2025,3026,SS,HOT,0.85,($342.78),($342.78),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/996064081000/2025/0000,2026-07-01T06:50:00.271031
005-250-001-000,005-250-001-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250001000/2025/0000,2026-07-01T06:50:05.738577
005-250-002-000,005-250-002-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250002000/2025/0000,2026-07-01T06:50:06.415791
005-250-003-000,005-250-003-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250003000/2025/0000,2026-07-01T06:50:07.076282
005-250-025-000,005-250-025-000,1525 MEDIAN AVE,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250025000/2025/0000,2026-07-01T06:50:11.528058
800-009-246-000,005-250-025-000,1525 MEDIAN AVE,shasta,2025,3026,CU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800009246000/2025/0000,2026-07-01T06:50:12.196185
860-001-758-000,005-250-025-000,,shasta,2025,3026,CU,HOT,0.85,$84.58,$84.58,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/860001758000/2025/0000,2026-07-01T06:50:12.828806
860-001-759-000,005-250-025-000,,shasta,2025,3026,CU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/860001759000/2025/0000,2026-07-01T06:50:13.437021
860-001-760-000,005-250-025-000,1525 MEDIAN AVE,shasta,2025,3026,CU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/860001760000/2025/0000,2026-07-01T06:50:14.123101
005-250-056-000,005-250-056-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250056000/2025/0000,2026-07-01T06:50:26.498484
005-250-058-000,005-250-058-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250058000/2025/0000,2026-07-01T06:50:27.819249
005-250-060-000,005-250-060-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250060000/2025/0000,2026-07-01T06:50:28.480510
005-250-061-000,005-250-061-000,4765 SHASTA DAM BLVD,shasta,2025,3026,CS,HOT,0.95,"$3,830.82","$1,898.41","$1,932.41",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250061000/2025/0000,2026-07-01T06:50:29.170659
800-014-125-000,005-250-061-000,4775 SHASTA DAM BLVD,shasta,2025,3026,DU,HOT,0.85,$233.74,$0.00,$233.74,LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800014125000/2025/0000,2026-07-01T06:50:29.846249
005-250-062-000,005-250-062-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250062000/2025/0000,2026-07-01T06:50:30.761620
005-250-066-000,005-250-066-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250066000/2025/0000,2026-07-01T06:50:32.097868
800-002-842-000,005-250-067-000,4525 SHASTA DAM BLVD,shasta,2025,3026,CU,HOT,0.85,"$10,615.72","$10,615.72",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800002842000/2025/0000,2026-07-01T06:50:33.445727
005-250-068-000,005-250-068-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250068000/2025/0000,2026-07-01T06:50:35.373439
005-250-070-000,005-250-070-000,,shasta,2025,3026,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250070000/2025/0000,2026-07-01T06:50:36.844431
005-250-079-000,005-250-079-000,,shasta,2025,3026,CS,HOT,0.85,"$3,722.83","$3,722.83",$0.00,Delinquent,PAID,True,https://common2.mptsweb.com/MBC/shasta/tax/main/005250079000/2025/0000,2026-07-01T06:50:44.422827
