asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at
005-050-001-000,5050001000,4340 SHASTA DAM BLVD,2025,0,3026,CS,005-050-001-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050001000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-002-000,5050002000,4336 SHASTA DAM BLVD,2025,0,3026,CS,005-050-002-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050002000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-003-000,5050003000,4324 SHASTA DAM BLVD,2025,0,3026,CS,005-050-003-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050003000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-004-000,5050004000,4302 SHASTA DAM BLVD,2025,0,3026,CS,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050004000/2025/0000,shasta,2026-07-01T05:02:41.089460
800-008-932-000,800008932000,4302 SHASTA DAM BLVD,2025,0,3026,CU,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800008932000/2025/0000,shasta,2026-07-01T05:02:41.089460
800-012-153-000,800012153000,4302 SHASTA DAM BLVD,2025,0,3026,CU,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800012153000/2025/0000,shasta,2026-07-01T05:02:41.089460
800-014-383-000,800014383000,975 MISSION DE ORO DR #STE G,2025,0,3026,CU,005-050-004-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800014383000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-005-000,5050005000,1625 LOCUST AVE,2025,0,3026,CS,005-050-005-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050005000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-006-000,5050006000,4309 MEADE ST,2025,0,3026,CS,005-050-006-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050006000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-007-000,5050007000,4313 MEADE ST,2025,0,3026,CS,005-050-007-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050007000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-009-000,5050009000,4329 MEADE ST,2025,0,3026,CS,005-050-009-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050009000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-012-000,5050012000,4317 MEADE ST,2025,0,3026,CS,005-050-012-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050012000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-014-000,5050014000,4325 MEADE ST,2025,0,3026,CS,005-050-014-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050014000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-015-000,5050015000,4321 MEADE ST,2025,0,3026,CS,005-050-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050015000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-016-000,5050016000,4337 MEADE ST,2025,0,3026,CS,005-050-016-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050016000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-017-000,5050017000,4333 MEADE ST,2025,0,3026,CS,005-050-017-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050017000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-018-000,5050018000,4344 MEADE ST,2025,0,3026,CS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050018000/2025/0000,shasta,2026-07-01T05:02:41.089460
990-182-470-000,990182470000,4344 MEADE ST,2025,0,3026,SU,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470000/2025/0000,shasta,2026-07-01T05:02:41.089460
990-182-470-001,990182470001,4344 MEADE ST,2025,0,3026,SS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990182470001/2025/0000,shasta,2026-07-01T05:02:41.089460
990-184-721-000,990184721000,4344 MEADE ST,2025,0,3026,SS,005-050-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184721000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-019-000,5050019000,4336 MEADE ST,2025,0,3026,CS,005-050-019-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050019000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-020-000,5050020000,4332 MEADE ST,2025,0,3026,CS,005-050-020-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050020000/2025/0000,shasta,2026-07-01T05:02:41.089460
005-050-021-000,5050021000,4324 MEADE ST,2025,0,3026,CS,005-050-021-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050021000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-022-000,5050022000,4316 MEADE ST,2025,0,3026,CS,005-050-022-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050022000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-023-000,5050023000,4312 MEADE ST,2025,0,3026,CS,005-050-023-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050023000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-025-000,5050025000,1743 LOCUST AVE,2025,0,3026,CS,005-050-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050025000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-026-000,5050026000,4317 FORT PECK ST,2025,0,3026,CS,005-050-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050026000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-027-000,5050027000,4321 FORT PECK ST,2025,0,3026,CS,005-050-027-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050027000/2025/0000,shasta,2026-07-01T05:02:41.090459
005-050-028-000,5050028000,4325 FORT PECK ST,2025,0,3026,CS,005-050-028-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005050028000/2025/0000,shasta,2026-07-01T05:02:41.090459
