asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
070-050-072-000,070-050-072-000,760 KERRYJEN CT,shasta,2025,1002,CS,HOT,0.95,"$26,469.92",$0.00,"$26,469.92",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/070050072000/2025/0000,2026-07-01T16:47:04.479203
990-182-719-000,064-100-031-000,12886 LAKE BLVD,shasta,2025,82011,SS,HOT,0.95,"$21,962.11",$0.00,"$21,962.11",LATE,DUE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990182719000/2025/0000,2026-07-01T16:31:28.830627
018-600-041-000,018-600-041-000,44725 DEE KNOCH RD,shasta,2025,77004,CS,HOT,0.95,"$16,000.82",$0.00,"$16,000.82",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/018600041000/2025/0000,2026-07-01T07:09:25.196231
102-150-007-000,102-150-007-000,1988 PARK MARINA DR,shasta,2025,1000,CS,HOT,0.95,"$26,590.58","$13,278.29","$13,312.29",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/102150007000/2025/0000,2026-07-01T17:47:42.433165
097-150-016-000,097-150-016-000,,shasta,2025,56001,CS,HOT,0.95,"$10,778.98",$0.00,"$10,778.98",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/097150016000/2025/0000,2026-07-01T17:39:56.163303
055-250-028-000,055-250-028-000,19327 CLOVER RD,shasta,2025,115016,CS,HOT,0.95,"$17,312.65","$8,227.93","$9,084.72",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/055250028000/2025/0000,2026-07-01T08:10:16.731782
085-050-022-000,085-050-022-000,,shasta,2025,82103,CS,HOT,0.95,"$9,015.84",$0.00,"$9,015.84",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/085050022000/2025/0000,2026-07-01T17:19:08.180237
114-300-021-000,114-300-021-000,1499 BELTLINE RD,shasta,2025,1029,CS,HOT,0.95,"$16,675.97","$7,924.75","$8,751.22",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/114300021000/2025/0000,2026-07-01T18:46:47.964337
102-450-028-000,102-450-028-000,853 LOCUST ST,shasta,2025,1249,CS,HOT,0.95,"$8,136.06",$0.00,"$8,136.06",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/102450028000/2025/0000,2026-07-01T17:49:27.425442
060-250-053-000,060-250-053-000,22973 OLD 44 DR,shasta,2025,103006,CS,HOT,0.95,"$14,732.82","$6,999.44","$7,733.38",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/060250053000/2025/0000,2026-07-01T16:26:19.935733
060-050-036-000,060-050-036-000,,shasta,2025,103005,CS,HOT,0.95,"$14,027.14","$6,996.57","$7,030.57",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/060050036000/2025/0000,2026-07-01T16:25:20.627237
107-300-018-000,107-300-018-000,1710 CANBY RD,shasta,2025,1108,CS,HOT,0.95,"$6,836.22",$0.00,"$6,836.22",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/107300018000/2025/0000,2026-07-01T18:11:07.808655
990-183-373-000,107-050-013-000,2611 HILLTOP DR,shasta,2025,1106,SS,HOT,0.95,"$6,778.60",$0.00,"$6,778.60",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183373000/2025/0000,2026-07-01T18:09:28.109474
102-150-010-000,102-150-010-000,1801 PARK MARINA DR,shasta,2025,1000,CS,HOT,0.95,"$6,743.74",$0.00,"$6,743.74",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/102150010000/2025/0000,2026-07-01T17:47:58.597247
091-300-009-000,091-300-009-000,22075 DUCK LN,shasta,2025,52009,CS,HOT,0.95,"$6,734.78",$0.00,"$6,734.78",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/091300009000/2025/0000,2026-07-01T17:30:21.817475
064-150-068-000,064-150-068-000,,shasta,2025,3006,CS,HOT,0.95,"$6,668.78",$0.00,"$6,668.78",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/064150068000/2025/0000,2026-07-01T16:31:52.002247
077-600-007-000,077-600-007-000,602 CASA BUENA ST,shasta,2025,1110,CS,HOT,0.95,"$6,567.86",$0.00,"$6,567.86",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/077600007000/2025/0000,2026-07-01T17:12:10.935338
089-300-006-000,089-300-006-000,22001 LOS ALAMOS LN,shasta,2025,144021,CS,HOT,0.95,"$6,323.02",$0.00,"$6,323.02",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/089300006000/2025/0000,2026-07-01T17:27:31.475216
097-450-001-000,097-450-001-000,10735 BEAVER RD,shasta,2025,103004,CS,HOT,0.95,"$6,297.70",$0.00,"$6,297.70",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/097450001000/2025/0000,2026-07-01T17:40:32.403499
064-450-009-000,064-450-009-000,2996 CROWN VIEW LN,shasta,2025,1015,CS,HOT,0.95,"$6,144.18",$0.00,"$6,144.18",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/064450009000/2025/0000,2026-07-01T16:33:53.097723
